Course,Equivalent
ATMS 420,CEE 447
ATMS 421,ESE 421
ATMS 421,GEOG 421
ATMS 421,GEOL 481
ATMS 421,NRES 422
ATMS 425,CEE 445
ATMS 446,GEOG 496
ATMS 446,SOC 451
ATMS 502,CSE 566
ATMS 535,CEE 545
BADM 205,GEOG 205
BADM 261,ENG 261
BADM 303,ACCY 321
BADM 303,ACE 321
BADM 303,PS 321
BADM 366,TMGT 366
BADM 367,TMGT 367
BADM 436,ACE 436
BADM 438,ACE 431
BADM 440,GEOG 440
BADM 460,TMGT 460
BADM 461,TMGT 461
BADM 510,PS 514
BADM 510,PSYC 553
BADM 510,SOC 575
BADM 512,LER 565
BADM 531,SOC 576
BCOG 458,PHIL 458
BIOC 406,MCB 406
BIOC 440,CHEM 440
BIOC 446,CHEM 472
BIOC 446,MCB 446
BIOC 555,MCB 555
BIOE 380,ECE 380
BIOE 414,ECE 414
BIOE 415,ECE 415
BIOE 416,ECE 416
BIOE 461,TAM 461
BIOE 467,ECE 467
BIOE 473,MSE 472
BIOE 474,CHBE 474
BIOE 480,ECE 480
BIOE 481,ME 481
BIOE 482,ME 482
BIOE 505,CSE 505
BIOE 540,CS 581
BIOP 419,MCB 419
BIOP 419,NEUR 419
BIOP 432,CPSC 489
BIOP 432,IB 421
BIOP 550,MCB 550
BIOP 550,PHYS 550
BIOP 576,CHEM 576
BIOP 576,CSE 576
BTW 402,ENGL 402
CB 434,ENVS 433
CB 434,IB 486
CB 449,CPSC 433
CB 449,ENVS 480
CB 449,FSHN 480
CB 514,ENVS 514
CB 514,PSYC 515
CB 516,ENVS 516
CB 533,ANSC 533
CB 533,MCB 533
CB 596,ENVS 596
CB 596,PATH 596
CEE 300,TAM 324
CEE 417,UP 430
CEE 432,IB 450
CEE 445,ATMS 425
CEE 447,ATMS 420
CEE 545,ATMS 535
CEE 553,GEOL 573
CEE 570,CSE 551
CEE 571,CSE 554
CEE 575,AE 521
CEE 576,CSE 552
CEE 577,CSE 553
CEE 592,NRES 592
CEE 592,UP 576
CHBE 202,CHEM 293
CHBE 474,BIOE 474
CHBE 551,CHEM 582
CHBE 553,CHEM 586
CHBE 571,ANSC 543
CHBE 571,MCB 571
CHBE 571,STAT 530
CHEM 293,CHBE 202
CHEM 440,BIOC 440
CHEM 450,ASTR 450
CHEM 451,ASTR 451
CHEM 472,MCB 446
CHEM 472,BIOC 446
CHEM 480,MSE 457
CHEM 482,MSE 458
CHEM 488,MSE 480
CHEM 494,MSE 492
CHEM 572,MCB 553
CHEM 576,BIOP 576
CHEM 576,CSE 576
CHEM 582,CHBE 551
CHEM 586,CHBE 553
CHLH 110,KIN 110
CHLH 314,HDFS 314
CHLH 314,RST 314
CHLH 314,PSYC 314
CHLH 314,REHB 314
CHLH 330,REHB 330
CHLH 336,CPSC 336
CHLH 336,ENVS 336
CHLH 340,SOCW 350
CHLH 365,AHS 365
CHLH 365,KIN 365
CHLH 365,RST 365
CHLH 365,SHS 370
CHLH 390,KIN 390
CHLH 390,RST 390
CHLH 404,HDFS 404
CHLH 407,ANTH 404
CHLH 407,KIN 407
CHLH 407,REHB 407
CHLH 409,GWS 409
CHLH 439,GEOG 439
CHLH 439,PATH 439
CHLH 444,HDFS 444
CHLH 448,KIN 448
CHLH 457,SOCW 457
CHLH 461,ENVS 431
CHLH 461,IB 485
CHLH 465,CMN 465
CHLH 469,ENVS 469
CHLH 473,LLS 473
CHLH 473,SOC 473
CHLH 473,SOCW 473
CHLH 474,ENVS 474
CHLH 474,PATH 474
CHLH 517,PATH 517
CHLH 527,ENVS 527
CHLH 527,PATH 525
CHLH 530,FSHN 530
CHLH 530,HDFS 551
CHLH 530,KIN 530
